,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
339,Contact,90000000,14.374866,1997,"272,619,739.10",150,7.2,1338
340,Black Hawk Down,92000000,10.064446,2001,"249,765,408.02",144,7.2,1832
341,Interview with the Vampire,60000000,11.970205,1994,"385,904,455.23",123,7.2,1558
342,Fear and Loathing in Las Vegas,18500000,9.220346,1998,"16,754,271.89",118,7.2,1321
343,Ocean's Eleven,85000000,12.114932,2001,"650,753,107.03",116,7.2,3857
344,First Blood,15000000,14.778884,1982,"331,781,757.02",93,7.2,1523
345,Grease,6000000,7.854899,1978,"713,033,450.75",110,7.2,1633
346,The Fugitive,44000000,10.08937,1993,"652,744,164.93",130,7.2,1240
347,Close Encounters of the Third Kind,20000000,10.610446,1977,"1,281,827,623.26",135,7.2,1122
348,The Emperor's New Groove,100000000,12.297375,2000,"251,434,898.76",78,7.2,1544
349,Goldfinger,2500000,13.78884,1964,"1,030,067,340.43",110,7.2,1005
350,Who Framed Roger Rabbit,70000000,16.78596,1988,"712,856,061.37",104,7.2,1466
351,The Little Mermaid,40000000,17.496832,1989,"458,404,112.90",83,7.2,1921
352,Enemy at the Gates,68000000,10.704813,2001,"140,015,992.32",131,7.2,1023
353,Home Alone,18000000,0.702543,1990,"932,580,500.36",103,7.1,2487
354,Mission: Impossible - Rogue Nation,150000000,17.836882,2015,"736,168,002.29",131,7.1,3274
355,The Social Network,40000000,16.972995,2010,"263,696,123.55",120,7.1,3492
356,The Illusionist,40000000,11.494009,2006,"110,238,937.73",110,7.1,1657
357,The Naked Gun: From the Files of Police Squad!,12000000,15.698222,1988,"170,227,848.34",85,7.1,1020
358,Tarzan,150000000,12.453452,1999,"687,596,638.66",88,7.1,1715
359,Despicable Me,69000000,22.274502,2010,"637,214,699.52",95,7.1,6595
360,Beetlejuice,15000000,10.627364,1988,"158,492,210.45",92,7.1,1475
361,Nerve,19000000,14.9837,2016,"90,817,710.53",96,7.1,2262
362,The Intern,35000000,15.651704999999998,2015,"209,916,399.28",121,7.1,1926
363,Back to the Future Part III,40000000,13.043999,1990,"478,390,994.44",118,7.1,2978
364,The Fly,15000000,13.534589000000002,1986,"141,449,598.14",96,7.1,1038
365,Identity,30000000,17.955897,2003,"125,431,322.58",90,7.1,1090
366,Kick-Ass,28000000,17.26045,2010,"112,771,675.82",117,7.1,4747
367,The Jungle Book,4000000,22.845448,1967,"1,575,874,598.46",78,7.1,1791
368,Gangs of New York,100000000,14.922399,2002,"275,417,616.86",167,7.1,1964
369,28 Days Later,5000000,17.656951,2002,"117,573,510.81",113,7.1,1816
370,Indiana Jones and the Temple of Doom,28000000,15.802306,1984,"819,519,730.51",118,7.1,2841
371,The Aristocats,4000000,9.834047,1970,"366,911,423.06",78,7.1,1287
372,The Equalizer,55000000,17.618057,2014,"207,769,200.28",132,7.1,2997
373,Perfume: The Story of a Murderer,50000000,10.297304,2006,"167,651,332.30",147,7.1,1198
374,The Godfather: Part III,54000000,17.185349,1990,"267,567,575.01",162,7.1,1589
375,The Man from U.N.C.L.E.,75000000,14.656875,2015,"116,678,077.52",116,7.1,2306
376,Dirty Dancing,6000000,14.044122,1987,"481,585,456.53",100,7.1,1371
377,Star Wars: Episode III - Revenge of the Sith,113000000,13.165420999999998,2005,"1,112,877,624.17",140,7.1,4200
378,Minority Report,102000000,20.666063,2002,"509,371,635.23",145,7.1,2663
379,Dracula,40000000,16.777675,1992,"393,414,756.55",128,7.1,1087
380,RoboCop,13000000,13.485582999999998,1987,"119,296,654.93",102,7.1,1494
381,Captain America: Civil War,250000000,145.882135,2016,"1,228,749,830.71",147,7.1,7462
382,X-Men: First Class,160000000,0.738633,2011,"402,052,861.30",132,7.1,5252
383,Fast Five,125000000,1.420361,2011,"711,887,076.47",130,7.1,2491
384,Eyes Wide Shut,65000000,13.268484,1999,"248,779,843.25",159,7.1,1266
385,Total Recall,65000000,12.954444,1990,"511,239,421.57",113,7.1,1745
386,Source Code,32000000,9.796962,2011,"167,509,873.82",93,7.1,2752
387,Argo,44500000,14.238234,2012,"258,733,795.86",120,7.1,3473
388,Wreck-It Ralph,165000000,13.697597,2012,"524,789,602.43",108,7.1,4656
389,The Hobbit: The Battle of the Five Armies,250000000,31.718977,2014,"1,032,759,863.93",144,7.1,4884
390,The Terminal,60000000,14.092373,2004,"297,008,957.67",128,7.1,1974
391,Lilo & Stitch,80000000,18.469238,2002,"207,191,659.00",85,7.1,1371
392,Airplane!,3500000,13.063203,1980,"258,969,295.17",88,7.1,1104
393,Limitless,27000000,12.114955,2011,"184,014,698.28",105,7.1,3888
394,Rise of the Guardians,145000000,10.943775,2012,"341,833,558.45",97,7.1,1981
395,Ice Age,59000000,17.328902,2002,"544,740,687.47",81,7.1,3954
396,Doctor Strange,165000000,43.847654,2016,"722,052,473.34",115,7.1,5880
397,Sweeney Todd: The Demon Barber of Fleet Street,50000000,10.038401,2007,"187,488,663.77",116,7.0,1745
398,Alice in Wonderland,3000000,16.488937,1951,"5,625,400,000.00",75,7.0,1557
399,P.S. I Love You,30000000,10.304881,2007,"193,452,948.30",126,7.0,1011
400,Maleficent,180000000,19.467404,2014,"819,428,065.16",97,7.0,4607
401,The Bucket List,45000000,9.070643,2007,"216,318,131.99",97,7.0,1138
402,Juno,7500000,11.791591,2007,"285,441,109.64",96,7.0,2313
403,Ant-Man,130000000,26.882388,2015,"560,287,212.87",117,7.0,6029
404,22 Jump Street,50000000,10.901496,2014,"203,567,894.80",112,7.0,3375
405,Superbad,20000000,16.205105,2007,"149,822,223.29",113,7.0,2152
406,Scream,14000000,13.326443,1996,"282,014,223.89",111,7.0,1520
407,Bridge to Terabithia,60000000,8.460206,2007,"169,710,622.33",96,7.0,1146
408,Lethal Weapon,15000000,13.183804,1987,"270,571,851.88",110,7.0,1367
409,300,65000000,18.108408,2006,"536,019,266.56",117,7.0,5092
410,Watchmen,130000000,16.551503,2009,"220,842,526.59",163,7.0,2892
411,Sunshine,50000000,12.715571,2007,"39,493,257.25",107,7.0,1210
412,The Maze Runner,34000000,76.93789,2014,"376,279,630.16",113,7.0,5540
413,John Wick,20000000,183.870374,2014,"95,886,593.65",101,7.0,5499
414,Peter Pan,4000000,16.861532999999998,1953,"833,931,688.83",77,7.0,1380
415,War Horse,66000000,8.166363,2011,"201,905,084.75",146,7.0,1016
416,The NeverEnding Story,27000000,14.225919,1984,"49,611,233.93",102,7.0,1031
417,Split,9000000,28.920839,2016,"295,037,312.04",117,7.0,4461
418,Monsters University,200000000,16.267502,2013,"816,000,821.93",104,7.0,3622
419,Pretty Woman,14000000,13.348451,1990,"905,807,957.15",119,7.0,1807
420,127 Hours,18000000,11.176797,2010,"41,846,307.40",94,7.0,2668
421,Mud,10000000,7.881578999999999,2013,"23,690,879.36",130,7.0,1080
422,The Impossible,42000000,10.027434,2012,"200,766,956.67",113,7.0,2071
423,The Hobbit: An Unexpected Journey,250000000,23.253089000000006,2012,"1,137,178,494.50",169,7.0,8427
424,The Aviator,116000000,9.86738,2004,"138,069,878.24",170,7.0,1526
425,Silver Linings Playbook,21000000,14.488110999999998,2012,"229,126,259.45",122,7.0,4840
426,Love Actually,40000000,10.586815,2003,"340,375,285.69",135,7.0,1917
427,"Crazy, Stupid, Love.",50000000,10.246173,2011,"162,414,633.49",118,7.0,2522
428,Blue Jasmine,18000000,12.61244,2013,"108,871,369.85",98,7.0,1126
429,One Day,15000000,11.239012,2011,"67,522,801.33",107,7.0,1006
430,Collateral,65000000,13.455112,2004,"294,771,462.20",120,7.0,1476
431,The Vow,30000000,9.524298,2012,"218,408,081.66",104,7.0,1328
432,Rise of the Planet of the Apes,93000000,41.613762,2011,"548,987,769.25",105,7.0,4452
433,Moneyball,50000000,15.785663,2011,"125,298,930.33",133,7.0,1409
434,50/50,8000000,11.869481,2011,"44,554,540.30",100,7.0,1287
435,Robin Hood,15000000,11.179855,1973,"184,613,482.25",83,7.0,1155
436,Sherlock Holmes: A Game of Shadows,125000000,18.695329,2011,"380,440,442.42",129,7.0,3971
437,Hugo,170000000,14.046164,2011,"211,211,337.98",126,7.0,2197
438,Despicable Me 2,76000000,24.82355,2013,"1,065,338,257.49",98,7.0,4729
439,The Town,37000000,13.081203,2010,"180,579,931.11",125,7.0,1516
440,Sully,60000000,18.275689,2016,"254,069,947.66",96,7.0,2106
441,Snowden,40000000,14.384554000000001,2016,"39,718,135.63",134,7.0,1285
442,Pirates of the Caribbean: Dead Man's Chest,200000000,29.455314,2006,"1,351,633,005.60",151,7.0,5380
443,The Devil Wears Prada,35000000,13.102384,2006,"414,182,116.75",109,7.0,3198
444,Batman,35000000,19.10673,1989,"848,241,289.25",126,7.0,2145
445,The Secret Life of Walter Mitty,90000000,8.684892,2013,"206,462,190.71",114,7.0,3213
446,Invictus,60000000,9.109838,2009,"145,712,011.12",134,7.0,1150
447,Mrs. Doubtfire,25000000,11.16553,1993,"780,878,062.71",125,7.0,1638
448,Lord of War,42000000,8.745216000000001,2005,"31,589,875.84",122,7.0,1356
449,Sherlock Holmes,90000000,15.68604,2009,"624,681,273.75",128,7.0,5883
450,The Nice Guys,50000000,16.075615,2016,"66,895,613.93",116,7.0,2382
451,The Conjuring 2,40000000,14.767317000000002,2016,"341,114,462.69",134,7.0,2018
452,Notting Hill,42000000,9.874043,1999,"558,502,945.17",124,7.0,1309
453,Big,18000000,9.562292,1988,"327,825,067.72",104,6.9,1022
454,Jumanji,65000000,17.015539,1995,"440,926,880.38",104,6.9,2413
455,Divergent,85000000,21.572585,2014,"311,925,799.54",139,6.9,4784
456,Cube,250000,12.095263,1997,"799,469.55",90,6.9,1101
457,Sleepy Hollow,100000000,11.072361,1999,"316,281,410.93",105,6.9,1774
458,Marley & Me,60000000,9.729748,2008,"289,883,249.16",115,6.9,1392
459,Gremlins,11000000,11.333125,1984,"376,740,608.10",106,6.9,1629
460,Superman,55000000,15.460102,1978,"1,177,388,760.78",143,6.9,1042
461,I Am Legend,150000000,11.379355,2007,"722,015,156.09",101,6.9,4977
462,Men in Black,90000000,15.781024,1997,"938,985,425.68",98,6.9,4521
463,Skyfall,200000000,20.309585,2012,"1,234,577,748.36",143,6.9,7718
464,The Hunger Games,75000000,20.031667,2012,"769,784,729.72",142,6.9,9634
465,Kung Fu Panda,130000000,16.897541,2008,"750,288,360.39",90,6.9,3231
466,Unbreakable,75000000,14.67855,2000,"368,430,914.86",106,6.9,1994
467,Meet Joe Black,90000000,14.026744,1998,"224,231,801.04",178,6.9,1174
468,Troy,175000000,15.387275,2004,"673,307,036.30",163,6.9,2841
469,Shooter,61000000,14.246918,2007,"118,040,144.13",124,6.9,1495
470,Mean Girls,17000000,11.454835,2004,"174,675,818.50",97,6.9,2401
471,Die Hard: With a Vengeance,90000000,15.138855,1995,"614,253,254.57",128,6.9,2094
472,Pirates of the Caribbean: At World's End,300000000,31.363664,2007,"1,185,372,407.14",169,6.9,4627
473,The Walk,35000000,9.425787,2015,"66,009,377.93",123,6.9,1151
474,Babel,25000000,12.60853,2006,"171,646,465.96",143,6.9,1083
475,From Dusk Till Dawn,19000000,15.339153,1996,"42,105,944.62",108,6.9,1644
476,Pinocchio,2600000,14.202284,1940,"1,539,679,285.71",88,6.9,1412
477,The Simpsons Movie,75000000,14.302910999999998,2007,"650,127,859.14",87,6.9,2335
478,Snow White and the Seven Dwarfs,1488423,16.263878,1937,"3,283,711,581.26",83,6.9,1973
479,The Rock,75000000,13.249823999999998,1996,"546,051,702.93",136,6.9,1474
480,Equilibrium,20000000,12.671637,2002,"7,617,905.65",107,6.9,1584
481,Collateral Beauty,36000000,14.575883,2016,"93,134,485.71",97,6.9,1553
482,Spy,65000000,13.257467000000002,2015,"254,260,979.74",120,6.9,2590
483,Ghost,22000000,11.945397,1990,"987,976,281.56",127,6.9,1381
484,The Accountant,44000000,13.465656,2016,"165,310,097.94",128,6.9,2121
485,3:10 to Yuma,55000000,18.079094,2007,"86,363,470.59",122,6.9,1210
486,The Place Beyond the Pines,15000000,7.492658,2013,"38,942,789.55",140,6.8,1689
487,Sleeping Beauty,6000000,14.276169,1959,"446,599,315.07",75,6.8,1332
488,The Road,32000000,14.958098,2009,"32,943,344.93",111,6.8,1113
489,Steve Jobs,30000000,16.224866,2015,"37,159,438.51",122,6.8,1608
490,A.I. Artificial Intelligence,100000000,13.249364000000002,2001,"340,634,778.92",146,6.8,2011
491,Sinister,3000000,12.490637,2012,"86,546,474.97",110,6.8,1611
492,Hotel Transylvania,85000000,16.231945,2012,"399,114,293.06",91,6.8,2622
493,The Hunchback of Notre Dame,100000000,13.553999,1996,"163,196,330.15",91,6.8,1182
494,Rush Hour,33000000,11.840557,1998,"383,372,522.24",98,6.8,1254
495,X2,110000000,0.913096,2003,"566,586,103.69",133,6.8,3572
496,The Spectacular Now,2500000,8.098964,2013,"7,522,420.74",95,6.8,1074
497,8 Mile,41000000,8.374355,2002,"305,589,216.23",110,6.8,1676
498,Non-Stop,50000000,19.650229,2014,"240,694,612.25",106,6.8,2302
499,One Hundred and One Dalmatians,4000000,15.727519,1961,"1,846,171,223.40",79,6.8,1643
500,A Monster Calls,43000000,24.483893,2016,"49,704,636.57",108,6.8,1023
501,Speed,30000000,10.859292,1994,"604,653,108.48",116,6.8,1814
502,School of Rock,35000000,17.951420000000006,2003,"182,440,489.45",108,6.8,1454
503,Insidious,1500000,17.24814,2010,"113,733,331.75",103,6.8,1775
504,Iron Man 3,200000000,23.721243,2013,"1,333,854,105.00",130,6.8,8951
505,Bambi,858000,13.698132,1942,"4,195,474,616.87",70,6.8,1450
506,The Patriot,110000000,15.960788,2000,"319,690,843.49",165,6.8,1130
507,The Croods,135000000,14.757874,2013,"642,189,922.27",98,6.8,2447
508,True Lies,115000000,11.396099,1994,"653,712,769.86",141,6.8,1138
509,Face/Off,80000000,11.467391,1997,"391,398,071.85",138,6.8,1612
510,Finding Dory,200000000,14.477676999999998,2016,"1,095,856,567.99",97,6.8,4333
511,Pitch Perfect 2,29000000,15.862632,2015,"310,191,281.88",115,6.8,1997
512,Home,135000000,13.422713,2015,"397,976,018.94",94,6.8,1539
513,Insomnia,46000000,11.424974,2002,"161,628,026.85",118,6.8,1181
514,10 Cloverfield Lane,15000000,14.421528,2016,"115,370,157.71",103,6.8,2537
515,The Fate of the Furious,250000000,48.573287,2017,"1,292,338,434.97",136,6.8,3803
516,American Hustle,40000000,16.478036,2013,"275,642,193.35",138,6.8,2868
517,Beauty and the Beast,160000000,287.253654,2017,"1,317,503,208.37",129,6.8,5530
518,The DUFF,8500000,8.592449,2015,"46,963,171.79",100,6.8,1372
519,Spider-Man,139000000,29.413341,2002,"1,167,931,498.00",121,6.8,5398
520,A Bug's Life,120000000,16.869208999999998,1998,"569,848,406.42",95,6.8,2379
521,Mission: Impossible - Ghost Protocol,145000000,14.25843,2011,"789,854,207.50",133,6.8,4026
522,Thor: The Dark World,170000000,34.905446999999995,2013,"707,368,701.68",112,6.8,4873
523,Dumbo,812000,14.655879,1941,"27,831,292.52",64,6.8,1206
524,Big Eyes,10000000,7.412826,2014,"31,202,001.53",105,6.8,1236
525,Cinderella,2900000,14.436858,1950,"2,796,693,975.75",74,6.8,1760
526,Sing,75000000,20.045673,2016,"673,816,078.95",108,6.8,2363
527,Dawn of the Dead,28000000,13.157873,2004,"138,552,284.92",101,6.8,1039
528,We're the Millers,37000000,18.474368,2013,"296,298,267.07",110,6.8,3053
529,Lawless,26000000,7.968423,2012,"59,778,316.66",115,6.8,1055
530,War Dogs,40000000,16.453573000000002,2016,"91,875,698.05",114,6.8,1392
531,X-Men,75000000,0.954467,2000,"440,034,942.24",104,6.8,4172
532,Pacific Rim,180000000,33.949359,2013,"447,313,575.38",131,6.7,4903
533,Escape Plan,50000000,14.191610999999998,2013,"134,890,102.50",115,6.7,1688
534,The World's End,20000000,9.830382,2013,"50,579,530.84",109,6.7,1820
535,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,18.13542,2005,"980,388,832.08",143,6.7,2709
536,Now You See Me 2,90000000,39.540653000000006,2016,"356,809,466.13",129,6.7,3362
537,Don't Breathe,9900000,25.869882999999998,2016,"167,377,858.61",88,6.7,1830
538,World War Z,200000000,26.114917,2013,"583,681,890.56",116,6.7,5683
539,Top Gun,15000000,20.301019,1986,"832,496,210.54",110,6.7,1736
540,Easy A,8000000,15.138144,2010,"87,873,931.17",92,6.7,2282
541,Brave,185000000,15.876341,2012,"600,252,639.50",93,6.7,4760
542,War for the Planet of the Apes,152000000,146.161786,2017,"385,905,614.60",140,6.7,1675
543,The Adventures of Tintin,130000000,19.201504,2011,"422,877,172.76",107,6.7,2095
544,In Time,40000000,10.324613,2011,"197,750,348.59",109,6.7,3512
545,Spider-Man 2,200000000,10.834506,2004,"1,060,926,698.75",127,6.7,4432
546,Anchorman: The Legend of Ron Burgundy,26000000,10.33012,2004,"122,603,599.11",94,6.7,1523
547,"I, Robot",120000000,14.43075,2004,"470,026,299.74",115,6.7,3889
548,Pitch Black,23000000,6.424399,2000,"78,978,422.80",108,6.7,1812
549,Pocahontas,55000000,13.280069,1995,"580,660,091.58",81,6.7,1509
550,John Wick: Chapter 2,40000000,49.247505,2017,"178,958,584.68",122,6.7,2924
551,21 Jump Street,42000000,11.250764,2012,"224,500,733.32",109,6.7,4151
552,Shrek 2,150000000,16.229860000000002,2004,"1,245,117,895.29",93,6.7,3082
553,Fast & Furious 6,160000000,1.6576369999999998,2013,"865,516,899.76",130,6.7,5282
554,Kung Fu Panda 2,150000000,11.481921,2011,"756,858,676.09",91,6.7,1925
555,Passengers,110000000,20.303632,2016,"322,974,831.94",116,6.7,4134
556,Hook,70000000,14.508137,1991,"564,820,691.93",144,6.7,1563
557,Lemony Snicket's A Series of Unfortunate Events,140000000,12.817945,2004,"283,007,575.58",108,6.7,1521
558,Seven Psychopaths,15000000,9.643538,2012,"21,630,105.13",110,6.7,1224
559,Trolls,125000000,16.83711,2016,"369,555,178.89",92,6.7,1054
560,Charlie and the Chocolate Factory,150000000,22.038405,2005,"621,861,304.14",115,6.7,3759
561,Lincoln,65000000,10.680331,2012,"306,587,696.71",149,6.7,1456
562,Zero Dark Thirty,40000000,9.649303,2012,"147,919,238.16",157,6.7,1723
563,Megamind,130000000,11.603905,2010,"377,379,913.28",95,6.7,1968
564,Kung Fu Panda 3,145000000,14.696548000000002,2016,"555,264,083.14",95,6.7,1630
565,Enemy of the State,90000000,12.978751,1998,"393,197,319.42",132,6.7,1266
566,The Princess and the Frog,105000000,16.616517,2009,"318,338,471.38",97,6.7,1293
567,Orphan,20000000,8.730934,2009,"49,585,833.94",123,6.7,1296
568,Step Up,12000000,14.21769,2006,"144,839,396.72",104,6.7,1092
569,The Proposal,40000000,8.058337,2009,"378,334,710.61",108,6.7,1858
570,Everest,55000000,10.758754,2015,"219,478,621.22",121,6.7,1805
571,Phone Booth,13000000,9.142772,2002,"139,060,345.67",81,6.7,1087
572,Mission: Impossible,80000000,15.793477,1996,"745,907,960.46",110,6.7,2677
573,The Gift,5000000,8.585856,2015,"63,632,242.92",108,6.7,1077
574,The Holiday,85000000,14.043416,2006,"246,274,487.05",136,6.7,1259
575,Lethal Weapon 2,25000000,12.834276,1989,"469,856,969.52",114,6.7,1066
576,Valkyrie,75000000,8.635464,2008,"237,856,819.32",121,6.7,1195
577,Starship Troopers,105000000,14.412644,1997,"193,112,250.46",129,6.7,1584
578,The Jungle Book,175000000,17.432758,2016,"1,029,779,118.42",106,6.7,2977
579,Death Proof,25000000,13.412137,2007,"30,883,696.40",113,6.7,1359
580,Vicky Cristina Barcelona,15000000,9.648539,2008,"114,499,267.61",96,6.7,1050
581,Red Dragon,78000000,2.968157,2002,"297,340,152.30",124,6.7,1142
582,The Lobster,4000000,11.223033,2015,"16,891,512.87",118,6.7,1340
583,Focus,50100000,10.035362,2015,"166,111,095.52",105,6.7,2588
584,Cinderella,95000000,19.801128,2015,"586,399,240.77",105,6.7,2426
585,Romeo + Juliet,14500000,11.774061,1996,"240,052,856.52",120,6.7,1406
586,The Mist,18000000,8.435642,2007,"70,426,897.17",126,6.7,1438
587,Atlantis: The Lost Empire,120000000,10.901602,2001,"268,627,540.84",95,6.7,1257
588,Independence Day,75000000,17.634197,1996,"1,331,415,180.55",145,6.7,3334
589,Hotel Transylvania 2,80000000,11.760218,2015,"510,565,962.70",89,6.7,1528
590,Up in the Air,25000000,8.338562,2009,"195,106,848.48",109,6.7,1246
591,The Matrix Reloaded,150000000,16.229317,2003,"1,026,412,736.66",138,6.7,3500
592,Pearl Harbor,140000000,11.419388,2001,"648,592,860.74",183,6.6,1833
593,Dredd,50000000,12.1524,2012,"45,702,746.64",95,6.6,1971
594,The Hunger Games: Mockingjay - Part 2,160000000,26.628178,2015,"704,985,680.75",137,6.6,4117
595,Super 8,50000000,19.529911,2011,"295,716,068.81",112,6.6,2496
596,A Christmas Carol,200000000,12.869273,2009,"387,703,024.56",96,6.6,1137
597,Pineapple Express,27000000,8.461369,2008,"120,694,251.53",111,6.6,1169
598,Looper,30000000,12.727269,2012,"52,389,544.43",118,6.6,4777
599,50 First Dates,75000000,11.134888,2004,"265,964,388.18",99,6.6,2161
600,Captain America: The First Avenger,140000000,19.323582,2011,"421,319,213.93",124,6.6,7174
601,Thor,150000000,29.158489000000007,2011,"510,861,788.45",115,6.6,6678
602,Star Trek Beyond,185000000,20.659284,2016,"365,940,597.30",122,6.6,2636
603,Ender's Game,110000000,12.500305,2013,"137,767,638.36",114,6.6,2354
604,The Good Dinosaur,175000000,12.319595,2015,"358,116,100.37",93,6.6,1782
605,Meet the Parents,55000000,14.178281,2000,"490,676,784.59",108,6.6,1743
606,King Kong,207000000,19.761164,2005,"720,097,286.23",187,6.6,2403
607,The Cabin in the Woods,30000000,14.811958,2012,"74,043,948.85",95,6.6,2314
608,Chappie,49000000,30.206365,2015,"112,636,980.69",120,6.6,3124
609,Cloud Atlas,102000000,13.494246,2012,"145,315,633.05",172,6.6,3031
610,The Transporter,21000000,13.217421,2002,"62,438,176.28",92,6.6,1724
611,GoldenEye,58000000,14.686035999999998,1995,"590,918,730.27",130,6.6,1194
612,The Book of Eli,80000000,14.39853,2010,"184,192,815.01",118,6.6,2207
613,The Italian Job,60000000,13.995044,2003,"244,680,123.50",110,6.6,1949
614,Enchanted,85000000,11.447798,2007,"419,984,045.42",107,6.6,1512
615,Real Steel,110000000,19.265552,2011,"340,253,256.98",127,6.6,2749
616,Dear John,25000000,8.371478999999999,2010,"134,798,924.77",115,6.6,1302
617,Die Hard 2,70000000,18.785984,1990,"469,594,114.28",124,6.6,1920
618,It Follows,2000000,20.359336,2015,"15,831,903.94",100,6.6,1894
619,Panic Room,48000000,14.969502,2002,"279,148,521.49",111,6.6,1303
620,Batman Returns,80000000,15.001681,1992,"510,306,486.10",126,6.6,1706
621,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,133.82782,2017,"828,538,928.32",129,6.6,2814
622,Cars,120000000,18.907948,2006,"585,957,793.65",117,6.6,3991
623,Chronicle,15000000,12.47441,2012,"161,483,013.94",84,6.6,1965
624,Transformers,150000000,5.587707,2007,"875,411,436.30",144,6.6,4113
625,Disturbia,20000000,18.006895999999994,2007,"145,254,540.59",105,6.6,1038
626,The Hunger Games: Mockingjay - Part 1,125000000,147.098006,2014,"812,471,603.53",123,6.6,5767
627,The Purge: Anarchy,9000000,27.756026,2014,"117,514,887.95",104,6.6,2008
628,2 Guns,61000000,13.336512,2013,"144,794,691.38",109,6.6,1611
629,RED,58000000,12.595165,2010,"84,019,856.87",111,6.6,2858
630,The Mummy,80000000,23.984065,1999,"638,306,838.42",124,6.6,2796
631,Blended,40000000,10.395472,2014,"133,407,569.82",117,6.6,1028
632,Underworld,22000000,20.624333,2003,"133,003,545.95",121,6.6,2556
633,Déjà Vu,75000000,14.922904,2006,"229,010,741.74",126,6.6,1519
634,The Call,13000000,8.611077,2013,"75,253,034.57",94,6.6,1275
635,The Fast and the Furious,38000000,1.406181,2001,"299,280,065.63",106,6.6,3485
636,9,30000000,18.502877,2009,"57,729,863.45",79,6.6,1291
637,Mad Max,400000,11.412619,1979,"352,203,856.75",93,6.6,1235
638,Love & Other Drugs,30000000,7.5756960000000015,2010,"120,545,969.95",112,6.6,1268
639,Madagascar,75000000,16.136217000000002,2005,"697,421,646.57",86,6.6,3322
640,Kingdom of Heaven,130000000,16.296471,2005,"277,097,570.41",144,6.6,1187
641,The Lovely Bones,65000000,12.738789,2009,"111,489,474.78",136,6.6,1101
642,Rango,135000000,10.581925,2011,"279,376,527.29",107,6.6,2094
643,Crank,12000000,12.627593,2006,"54,451,722.14",88,6.6,1172
644,Allied,85000000,13.085186,2016,"127,338,624.50",124,6.6,1415
645,Constantine,100000000,9.615691,2005,"302,289,938.30",121,6.6,1837
646,Iron Man 2,200000000,19.083344,2010,"731,498,178.53",124,6.6,6969
647,The Mask,23000000,14.13488,1994,"606,611,856.75",101,6.6,2550
648,Bridget Jones's Diary,25000000,10.780524,2001,"407,055,045.63",97,6.6,1397
649,The Hitchhiker's Guide to the Galaxy,50000000,13.257255,2005,"136,790,225.15",109,6.6,1340
650,Money Monster,27000000,11.953822,2016,"99,384,841.01",98,6.5,1096
651,Miss Peregrine's Home for Peculiar Children,110000000,36.262655,2016,"315,880,826.45",127,6.5,3213
652,Man of Steel,225000000,18.538834,2013,"727,423,171.47",143,6.5,6462
653,The Amazing Spider-Man 2,200000000,26.23687,2014,"762,365,641.58",142,6.5,4274
654,The Heat,43000000,12.706403,2013,"174,132,994.96",117,6.5,1595
655,King Arthur: Legend of the Sword,175000000,44.251369,2017,"152,496,794.68",126,6.5,1506
656,Deepwater Horizon,110000000,13.1984,2016,"129,757,493.23",107,6.5,1478
657,Austin Powers: International Man of Mystery,16500000,11.749159,1997,"107,830,504.59",94,6.5,1033
658,Blade,45000000,15.043454,1998,"205,789,132.64",120,6.5,1950
659,Alice Through the Looking Glass,170000000,14.616079999999998,2016,"318,953,877.00",113,6.5,1782
660,Space Jam,80000000,11.054251,1996,"407,751,051.63",88,6.5,1335
661,Project X,12000000,9.803023,2012,"111,367,595.82",88,6.5,1624
662,Bad Boys,19000000,9.262184,1995,"237,255,748.27",118,6.5,1729
663,Armageddon,140000000,13.235112,1998,"868,751,834.52",151,6.5,2540
664,Maze Runner: The Scorch Trials,61000000,41.225769,2015,"335,816,016.79",132,6.5,3148
665,Penguins of Madagascar,132000000,22.201607,2014,"403,537,264.20",92,6.5,1375
666,Jurassic World,150000000,32.790475,2015,"1,632,950,703.45",124,6.5,8842
667,The Babadook,2000000,8.832788,2014,"7,212,393.89",93,6.5,1890
668,In the Heart of the Sea,100000000,11.696923,2015,"101,223,492.91",122,6.5,1300
669,Con Air,75000000,11.545982,1997,"356,884,288.06",115,6.5,1289
670,Flight,31000000,10.973822,2012,"180,162,004.74",138,6.5,2449
671,There's Something About Mary,23000000,11.688958,1998,"580,242,363.56",119,6.5,1616
672,Dumb and Dumber,16000000,9.844558,1994,"426,641,789.01",107,6.5,1894
673,The Amazing Spider-Man,215000000,31.102267,2012,"837,724,715.31",136,6.5,6734
674,Cloudy with a Chance of Meatballs,100000000,11.665693,2009,"289,660,376.49",90,6.5,1799
675,Hellboy II: The Golden Army,85000000,11.928661,2008,"190,484,104.55",120,6.5,1555
676,Paul,40000000,10.24382,2011,"110,911,779.39",104,6.5,1825
677,Vanilla Sky,68000000,10.071057,2001,"293,655,555.02",136,6.5,1100
678,Mr. & Mrs. Smith,110000000,15.724373000000002,2005,"626,101,704.37",120,6.5,3048
679,The Da Vinci Code,125000000,18.566706,2006,"973,867,516.70",149,6.5,2773
680,Mission: Impossible III,150000000,15.687983,2006,"504,614,325.74",126,6.5,2062
