,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,rotten_tomatoes_link,1_genre_Action & Adventure,1_genre_Animation,1_genre_Art House & International,1_genre_Classics,1_genre_Comedy,1_genre_Cult Movies,1_genre_Documentary,1_genre_Drama,1_genre_Horror,1_genre_Kids & Family,1_genre_Musical & Performing Arts,1_genre_Mystery & Suspense,1_genre_Romance,1_genre_Science Fiction & Fantasy,1_genre_Special Interest,1_genre_Television,1_genre_Western,1_genre_nan,2_genre_Animation,2_genre_Anime & Manga,2_genre_Art House & International,2_genre_Classics,2_genre_Comedy,2_genre_Cult Movies,2_genre_Documentary,2_genre_Drama,2_genre_Faith & Spirituality,2_genre_Gay & Lesbian,2_genre_Horror,2_genre_Kids & Family,2_genre_Musical & Performing Arts,2_genre_Mystery & Suspense,2_genre_Romance,2_genre_Science Fiction & Fantasy,2_genre_Special Interest,2_genre_Sports & Fitness,2_genre_Television,2_genre_Western,2_genre_nan,3_genre_Anime & Manga,3_genre_Art House & International,3_genre_Classics,3_genre_Comedy,3_genre_Cult Movies,3_genre_Documentary,3_genre_Drama,3_genre_Faith & Spirituality,3_genre_Gay & Lesbian,3_genre_Horror,3_genre_Kids & Family,3_genre_Musical & Performing Arts,3_genre_Mystery & Suspense,3_genre_Romance,3_genre_Science Fiction & Fantasy,3_genre_Special Interest,3_genre_Sports & Fitness,3_genre_Television,3_genre_Western,3_genre_nan,top_critic_review_count,review_count
268,The Great Gatsby,105000000,17.598936,2013,"385,240,494.16",143,7.3,3885,/m/1008799-great_gatsby,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0,28.0
269,The Great Gatsby,105000000,17.598936,2013,"385,240,494.16",143,7.3,3885,/m/the_great_gatsby_2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,28.0
270,Jackie Brown,12000000,16.415498,1997,"63,205,155.91",154,7.3,1580,/m/jackie_brown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,79.0
271,Saving Mr. Banks,35000000,15.130888,2013,"123,509,223.63",125,7.3,1256,/m/saving_mr_banks_2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,251.0
272,Now You See Me,75000000,17.852022,2013,"129,165,696.12",115,7.3,5635,/m/now_you_see_me,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.0,163.0
273,Inside Man,45000000,13.393548000000001,2006,"233,854,207.08",129,7.3,1671,/m/inside_man,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.0,198.0
274,Avengers: Age of Ultron,280000000,37.37942,2015,"1,516,294,196.44",141,7.3,6908,/m/avengers_age_of_ultron,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.0,353.0
275,The Artist,15000000,11.440947999999999,2011,"151,706,453.00",100,7.3,1075,/m/the_artist,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60.0,306.0
276,"O Brother, Where Art Thou?",26000000,12.434175,2000,"106,717,370.58",106,7.3,1144,/m/o_brother_where_art_thou,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.0,143.0
277,The Revenant,135000000,23.501228,2015,"575,001,871.80",156,7.3,6558,/m/the_revenant_2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.0,25.0
278,The Revenant,135000000,23.501228,2015,"575,001,871.80",156,7.3,6558,/m/the_revenant_2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.0,25.0
279,Predator,18000000,18.495694,1987,"221,116,457.95",107,7.3,2129,/m/predator,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,40.0
280,Creed,37000000,33.449723,2015,"187,262,575.79",133,7.3,1963,/m/creed_2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0,294.0
281,Frozen,150000000,24.248243,2013,"1,398,359,659.23",102,7.3,5440,/m/10012051-frozen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29.0,94.0
282,Frozen,150000000,24.248243,2013,"1,398,359,659.23",102,7.3,5440,/m/frozen_2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,94.0
283,Begin Again,8000000,10.289628,2013,"69,647,918.27",104,7.3,1285,/m/begin_again_2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46.0,161.0
284,The Last Samurai,140000000,19.582325,2003,"634,746,040.44",154,7.3,1946,/m/last_samurai,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.0,207.0
285,Coraline,60000000,16.639915,2009,"148,528,200.32",100,7.3,1432,/m/coraline,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52.0,261.0
286,District 9,30000000,11.589835,2009,"251,312,701.78",112,7.3,3451,/m/district_9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52.0,308.0
287,The Curious Case of Benjamin Button,150000000,17.934821,2008,"396,592,817.57",166,7.3,3398,/m/curious_case_of_benjamin_button,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50.0,241.0
288,The Wrestler,6000000,7.903956,2008,"53,092,482.68",109,7.3,1031,/m/the_wrestler,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0,224.0
289,Training Day,45000000,13.664622,2001,"151,422,093.61",122,7.3,1665,/m/training_day,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.0,152.0
290,American Psycho,7000000,13.686715,2000,"50,882,464.66",102,7.3,2128,/m/american_psycho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38.0,136.0
291,Furious 7,190000000,27.275686999999998,2015,"1,625,096,883.34",137,7.3,4253,/m/furious_7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0,266.0
292,Predestination,5500000,10.524204,2014,"3,240,811.15",97,7.3,1971,/m/predestination,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.0,104.0
293,The Big Short,28000000,13.143061,2015,"143,867,939.17",130,7.3,2679,/m/the_big_short,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0,313.0
294,Shrek,60000000,17.987728,2001,"699,398,289.34",90,7.3,4183,/m/shrek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48.0,200.0
295,Toy Story 2,90000000,17.547693,1999,"763,365,596.66",92,7.3,3914,/m/toy_story_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43.0,159.0
296,The Machinist,5000000,10.737565,2004,"11,104,114.29",101,7.3,1280,/m/machinist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,140.0
297,Southpaw,30000000,12.370125999999999,2015,"98,946,003.22",123,7.3,2112,/m/southpaw_2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.0,232.0
298,Being John Malkovich,13000000,11.416319,1999,"35,091,365.53",112,7.3,1124,/m/being_john_malkovich,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.0,123.0
299,The Butterfly Effect,13000000,12.994939,2004,"130,030,499.69",113,7.3,2119,/m/butterfly_effect,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37.0,158.0
300,Changeling,55000000,11.672394,2008,"134,227,957.29",141,7.3,1151,/m/1191742_changeling,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.0,200.0
301,Sin City,40000000,15.010525,2005,"207,825,078.21",124,7.2,2755,/m/sin_city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50.0,243.0
302,Finding Neverland,25000000,15.529604,2004,"158,058,276.17",106,7.2,1269,/m/finding_neverland,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45.0,193.0
303,The Bourne Supremacy,75000000,20.40426,2004,"390,521,468.96",108,7.2,2873,/m/bourne_supremacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.0,188.0
304,Get Out,5000000,36.894806,2017,"263,351,439.11",104,7.2,2978,/m/get_out,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57.0,359.0
305,Crash,6500000,9.785147,2004,"133,210,442.55",112,7.2,1172,/m/1144992-crash,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0,231.0
306,The Judge,50000000,17.887943,2014,"90,439,575.46",141,7.2,1433,/m/the_judge_2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,195.0
307,Baby Driver,34000000,228.032744,2017,"234,220,906.85",113,7.2,2083,/m/baby_driver,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.0,365.0
308,Saw,1200000,23.508433,2004,"140,657,563.60",103,7.2,2255,/m/saw,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.0,180.0
309,Match Point,15000000,9.020372,2005,"111,688,888.03",124,7.2,1134,/m/match_point,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50.0,211.0
310,Chef,11000000,8.720309,2014,"49,657,798.81",114,7.2,1203,/m/chef_2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.0,182.0
311,Les Misérables,61000000,13.52408,2012,"492,032,918.94",157,7.2,1925,/m/les_miserables_2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.0,245.0
312,Life of Pi,120000000,14.045042,2012,"678,247,106.58",127,7.2,5912,/m/life-of-pi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52.0,242.0
313,End of Watch,7000000,7.4527899999999985,2012,"53,597,196.82",109,7.2,1186,/m/end_of_watch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0,172.0
314,The Girl with the Dragon Tattoo,90000000,8.907829,2011,"264,474,330.15",158,7.2,2479,/m/the_girl_with_the_dragon_tattoo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0,241.0
315,The Girl with the Dragon Tattoo,90000000,8.907829,2011,"264,474,330.15",158,7.2,2479,/m/the_girl_with_the_dragon_tattoo_2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47.0,241.0
316,Fantastic Beasts and Where to Find Them,180000000,41.05142100000001,2016,"862,286,809.55",133,7.2,5612,/m/fantastic_beasts_and_where_to_find_them,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55.0,324.0
317,True Grit,38000000,10.730765,2010,"295,768,960.27",110,7.2,1701,/m/true_grit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0,23.0
318,True Grit,38000000,10.730765,2010,"295,768,960.27",110,7.2,1701,/m/true_grit_2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15.0,23.0
319,The Fighter,25000000,14.141836999999999,2010,"109,756,392.49",116,7.2,1512,/m/the_fighter_2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0,242.0
320,Sicario,30000000,19.511221,2015,"90,655,701.06",121,7.2,2465,/m/sicario_2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47.0,260.0
321,Wonder Woman,149000000,294.337037,2017,"856,068,626.27",141,7.2,5025,/m/wonder_woman_2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.0
322,Wonder Woman,149000000,294.337037,2017,"856,068,626.27",141,7.2,5025,/m/wonder_woman_2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,11.0
323,Avatar,237000000,185.070892,2009,"3,323,462,343.80",162,7.2,12114,/m/avatar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57.0,300.0
324,The Blind Side,29000000,12.753109,2009,"368,599,368.82",129,7.2,1626,/m/1212694-blind_side,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36.0,194.0
325,Law Abiding Citizen,53000000,16.639047,2009,"151,024,795.52",109,7.2,1522,/m/law_abiding_citizen,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0,155.0
326,The Lego Batman Movie,80000000,17.070748000000002,2017,"325,441,506.28",104,7.2,1473,/m/the_lego_batman_movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,301.0
327,Bridge of Spies,40000000,13.707888,2015,"178,535,078.41",141,7.2,2633,/m/bridge_of_spies,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.0,292.0
328,Zombieland,23600000,11.063029,2009,"122,058,164.93",88,7.2,3655,/m/zombieland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46.0,247.0
329,The Hangover,35000000,23.947351,2009,"547,484,835.80",100,7.2,6324,/m/10010667-hangover,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.0,233.0
330,Brooklyn,11000000,7.991613,2015,"66,974,131.87",111,7.2,1235,/m/brooklyn,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.0,261.0
331,Nocturnal Animals,22500000,18.908782,2016,"31,166,610.31",116,7.2,1990,/m/nocturnal_animals,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0,287.0
332,Taken,25000000,16.367481,2008,"269,394,223.12",93,7.2,4444,/m/taken,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44.0,169.0
333,Hell or High Water,12000000,12.565896,2016,"40,048,262.45",102,7.2,1304,/m/hell_or_high_water,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51.0,272.0
334,Gone Baby Gone,19000000,6.148516000000001,2007,"42,702,638.85",113,7.2,1034,/m/gone_baby_gone,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42.0,173.0
335,Stardust,70000000,14.784525,2007,"167,210,316.68",127,7.2,1215,/m/stardust,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47.0,186.0
336,Arrival,47000000,30.83786,2016,"216,693,163.17",113,7.2,5729,/m/arrival_2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56.0,409.0
337,Scott Pilgrim vs. the World,60000000,13.793301000000001,2010,"55,881,832.81",112,7.2,2185,/m/scott_pilgrims_vs_the_world,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.0,258.0
338,The Hurt Locker,15000000,9.403724,2008,"49,881,096.14",131,7.2,1881,/m/the_hurt_locker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.0,276.0
339,The Devil's Advocate,57000000,10.920124000000001,1997,"243,663,237.15",144,7.2,1414,/m/devils_advocate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.0,44.0
340,A Nightmare on Elm Street,1800000,13.694713,1984,"62,767,121.98",91,7.2,1212,/m/nightmare_on_elm_street,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.0,44.0
341,A Nightmare on Elm Street,1800000,13.694713,1984,"62,767,121.98",91,7.2,1212,/m/nightmare_on_elm_street_2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0,44.0
